CELL ID,School name,URN,Total road length in catchment,percentage of Motorway,percentage of A Road,percentage of B Road,percentage of Minor Roads,percentage of Unknown,Year,Flood Name,Start Date,End Date,Duration,Flooded Roads Ratio,Year.1,Flood Name.1,Start Date.1,End Date.1,Duration.1,Flooded Roads Ratio.1,Year.3,Flood Name.3,Start Date.3,End Date.3,Duration.3,Flooded Roads Ratio.3,Year.4,Flood Name.4,Start Date.4,End Date.4,Duration.4,Flooded Roads Ratio.4,Year.5,Flood Name.5,Start Date.5,End Date.5,Duration.5,Flooded Roads Ratio.5,Year.6,Flood Name.6,Start Date.6,End Date.6,Duration.6,Flooded Roads Ratio.6,Year.7,Flood Name.7,Start Date.7,End Date.7,Duration.7,Flooded Roads Ratio.7,Year.8,Flood Name.8,Start Date.8,End Date.8,Duration.8,Flooded Roads Ratio.8
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,,,,,,,,,2000,,,,,,2002,,,,,,2007,,,,,,2013,,,,,,2019,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
