CELL ID,School name,Total road length in catchment,percentage of Motorway,percentage of A Road,percentage of B Road,percentage of Minor Roads,percentage of Unknown,Year,Flood Name,Start Date,End Date,Duration,Flooded Roads Ratio,Year.1,Flood Name.1,Start Date.1,End Date.1,Duration.1,Flooded Roads Ratio.1,Year.3,Flood Name.3,Start Date.3,End Date.3,Duration.3,Flooded Roads Ratio.3,Year.4,Flood Name.4,Start Date.4,End Date.4,Duration.4,Flooded Roads Ratio.4,Unnamed: 32,Unnamed: 33,Unnamed: 34,Year.5,Flood Name.5,Start Date.5,End Date.5,Duration.5,Flooded Roads Ratio.5,Year.6,Flood Name.6,Start Date.6,End Date.6,Duration.6,Flooded Roads Ratio.6,Flood Name.6 (2nd),Start Date.6 (2nd),End Date.6 (2nd),Duration.6 (2nd),Year.7,Flood Name.7,Start Date.7,End Date.7,Duration.7,Flooded Roads Ratio.7,Flood Name.7 (2nd),Start Date.7 (2nd),End Date.7 (2nd),Duration.7 (2nd),Year.8,Flood Name.8,Start Date.8,End Date.8,Duration.8,Flooded Roads Ratio.8,Flood Name.8 (2nd),Start Date.8 (2nd),End Date.8 (2nd),Duration.8 (2nd)
24,Sacred Heart Catholic Voluntary Academy,10.93,0,7.1,0,81.2,11.7,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,4.41,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2.07,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
25,Trinity Academy St Peter's,15.39,0,0.1,0,86.2,13.7,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
26,New Road Primary School,8.83,0,6.4,0,76.8,16.7,2000,123 June 2000 - Calder Sowerby Bridge,2000/6/3,2000/6/30,28 days,4.52,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,35.79,,,,2019,2019 March Flooding Yorkshire,2019/3/14,2019/3/17,4 days,1.74,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,16.15,2020 February Flood Incident - Storm Ciara,2020/2/8,2020/2/14,7 days,2021,,,,,0,,,,,2022,,,,,0,,,,
27,Shade Primary School,19.3,0,19.5,0,54.5,26.1,2000,123 June 2000 - Waslden Water,2000/6/3,2000/6/30,28 days,9.53,2002,,,,,0,2012,123JUNE2012CALD_Todmorden,2012/6/22,2012/6/24,3 days,13.45,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,13.78,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara,2020/2/8,2020/2/14,7 days,10.49,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2021,,,,,0,,,,,2022,,,,,0,,,,
28,Castle Hill Primary School,45.74,0,7,0,67.3,25.7,2000,123 June 2000 - Calder,2000/6/3,2000/6/30,28 days,4.28,2002,,,,,0,2012,123JUNE2012CALD_Todmorden,2012/6/22,2012/6/24,3 days,3.05,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,11.35,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara,2020/2/8,2020/2/14,7 days,14.8,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2021,,,,,0,,,,,2022,,,,,0,,,,
29,"Todmorden CofE J, I & N School",8.1,0,10.9,0,68.4,20.7,2000,123 June 2000 - Waslden Water,2000/6/3,2000/6/30,28 days,5.68,2002,,,,,0,2012,123JUNE2012CALD_Todmorden,2012/6/22,2012/6/24,3 days,13.9,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,35.75,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara,2020/2/8,2020/2/14,7 days,40.23,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2021,,,,,0,,,,,2022,,,,,0,,,,
30,Luddendenfoot Academy,19.68,0,8.2,0,71.5,20.3,2000,123 June 2000 - Calder,2000/6/3,2000/6/30,28 days,3.89,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,9.31,,,,2019,2019 November Flood Incident,2019/11/7,2019/11/8,2 days,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
31,Siddal Primary School,12.38,0,2.1,0,73.2,24.8,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
32,St Andrew's CofE (VA) Junior School,18.83,0,24,0,64.1,11.9,2000,,,,,0,2002,River Calder. Elland,2002/2/10,2002/2/13,4 days,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,14.24,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,18.14,,,,,2021,,,,,0,,,,,2022,"2022 February Flood Incident -Storm Dudley, Eunice and Franklin",2022/2/20,2022/3/28,37 days,4.39,,,,
33,St Andrew's Church of England (VA) Infant School,14.78,0,9.2,0,80.8,10,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,7.05,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,5.96,,,,,2021,,,,,0,,,,,2022,"2022 February Flood Incident -Storm Dudley, Eunice and Franklin",2022/2/20,2022/3/28,37 days,0,,,,
34,Salterhebble Junior and Infant School,28.05,0,7.7,0,75,17.3,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
35,Trinity Academy St Chad's,13.73,0,8.8,0,60.5,30.6,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
36,Withinfields Primary School,24.7,0,0,0,77.9,22.1,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
37,St Joseph's Catholic Primary Academy,6.79,0,5.8,0,72.6,21.6,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
38,"Holy Trinity Primary School, A Church of England Academy",17.12,0,4.1,0,85,10.9,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
39,Cliffe Hill Community Primary School,9.74,0,7.8,0,77.4,14.8,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
40,St Joseph's Catholic Primary Academy,26.71,0,12.5,0,74.8,12.7,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0.98,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Dennis,2020/2/15,2020/3/19,34 days,0,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2021,,,,,0,,,,,2022,,,,,0,,,,
41,St Joseph's Roman Catholic Voluntary Academy,12.06,0,7.4,0,87.3,5.3,2000,123 June 2000 - Calder Todmorden,2000/6/3,2000/6/30,28 days,21.84,2002,,,,,0,2012,123JUNE2012CALD_Todmorden,2012/6/22,2012/6/24,3 days,23.42,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,37.9,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara,2020/2/8,2020/2/14,7 days,58.24,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2021,,,,,0,,,,,2022,,,,,0,,,,
42,Scout Road Academy,37.11,0,2.9,8.1,59.8,29.2,2000,123 June 2000 - Calder Mytholmroyd Sports Ground,2000/6/3,2000/6/30,28 days,0.27,2002,,,,,0,2012,123JUNE2012CALD_Mytholmroyd,2012/6/22,2012/6/24,3 days,0.86,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,1.88,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara,2020/2/8,2020/2/14,7 days,0.3,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2021,,,,,0,,,,,2022,,,,,0,,,,
43,Warley Town School,16.48,0,6,0,78.3,15.7,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
